"id","position","goals","assists","started","subbed","rating","mom_votes","match_id","player_id"
"169","LCM","0","0","true","false","5","0","12","16"
"178","RB","0","0","true","false","4","0","13","14"
"170","LW","0","1","true","false","4","0","12","18"
"172","RCF","0","0","true","false","5","1","12","25"
"179","RCB","0","0","true","false","5","0","13","9"
"171","RW","0","1","true","false","4","0","12","19"
"153","HDM","1","0","true","false","4","0","11","17"
"191","LW","0","0","false","true","3","0","13","28"
"190","RCM","0","0","false","true","3","0","13","15"
"180","LCB","0","0","true","false","4","0","13","12"
"181","LB","0","0","true","false","4","0","13","7"
"183","LCM","0","0","true","false","5","0","13","20"
"184","RCM","0","1","true","false","5","0","13","16"
"185","RW","0","0","true","false","4","0","13","19"
"186","RCF","0","1","true","false","4","0","13","25"
"188","RW","0","1","false","true","4","0","13","18"
"189","RCF","1","0","false","true","4","0","13","24"
"187","LW","2","0","true","false","6","5","13","23"
"167","HDM","1","0","true","false","5","4","12","17"
"203","LCM","0","0","false","true","3","0","14","15"
"201","RW","0","1","true","false","4","0","14","19"
"194","RCB","0","0","true","false","4","0","14","9"
"202","RCF","2","0","true","false","5","2","14","25"
"182","HDM","0","0","true","false","5","4","13","17"
"204","LW","0","0","false","true","3","0","14","22"
"205","RW","0","0","false","true","3","0","14","18"
"206","RCF","0","0","false","true","3","0","14","24"
"192","GK","0","0","true","false","4","0","14","1"
"195","LCB","0","0","true","false","4","0","14","6"
"196","LB","0","0","true","false","4","0","14","12"
"197","HDM","0","0","true","false","4","0","14","17"
"198","RCM","0","0","true","false","4","0","14","20"
"199","LCM","0","0","true","false","4","0","14","16"
"200","LW","0","2","true","false","5","1","14","23"
"218","RCF","0","0","false","true","4","0","15","24"
"219","RCM","0","0","false","true","5","0","15","15"
"220","RW","0","0","false","true","4","0","15","18"
"215","RW","0","0","true","false","4","0","15","19"
"214","RCM","0","0","true","false","4","0","15","20"
"213","LCM","0","0","true","false","4","0","15","16"
"212","HDM","0","0","true","false","4","0","15","17"
"211","RB","0","0","true","false","4","0","15","14"
"210","RCB","0","0","true","false","4","0","15","6"
"209","LCB","0","0","true","false","4","0","15","9"
"208","LB","0","0","true","false","4","0","15","12"
"207","GK","0","0","true","false","3","0","15","1"
"216","RCF","1","0","true","false","5","3","15","25"
"217","LW","1","0","true","false","6","2","15","23"
"231","RCF","0","0","true","false","4","0","16","25"
"229","LW","0","0","true","false","4","0","16","23"
"228","RCM","0","0","true","false","3","0","16","20"
"226","HDM","0","0","true","false","4","0","16","17"
"225","LB","0","0","true","false","3","0","16","12"
"224","LCB","0","0","true","false","4","0","16","9"
"223","RCB","0","0","true","false","3","0","16","6"
"222","RB","0","0","true","false","3","0","16","14"
"221","GK","0","0","true","false","4","1","16","1"
"232","LCM","0","0","false","true","4","0","16","13"
"233","LB","0","0","false","true","3","0","16","7"
"234","RCF","0","0","false","true","3","0","16","24"
"227","LCM","1","0","true","false","5","0","16","16"
"230","RW","0","1","true","false","4","0","16","19"
"235","GK","0","0","true","false","3","0","17","1"
"236","RB","0","0","true","false","3","0","17","14"
"237","LCB","0","0","true","false","3","0","17","9"
"238","RCB","0","0","true","false","3","0","17","6"
"239","LB","0","0","true","false","3","0","17","12"
"241","RCM","0","0","true","false","3","0","17","15"
"242","LCM","0","0","true","false","3","0","17","16"
"243","RW","0","0","true","false","3","0","17","19"
"244","LW","0","0","true","false","3","0","17","23"
"245","RCF","0","0","true","false","3","0","17","25"
"249","RW","0","0","false","true","3","0","17","18"
"248","RCF","0","0","false","true","3","0","17","24"
"247","RCM","0","0","false","true","3","0","17","20"
"246","LB","0","0","false","true","3","0","17","7"
"240","HDM","0","0","true","false","3","1","17","17"
